name,start,end,cagr,vol,sharpe,excess_sharpe,maxdd,calmar,turnover_ann,beta_spy,corr_spy,final,observations,period
trend3_plus_0pct_static_qqq,2007-01-03,2015-12-31,0.08419652123944954,0.10801018351232387,0.815886567163299,0.7338555498579171,-0.12114509044907973,0.6950056409825326,3.0210610760582566,0.26615513116605466,0.5307615610788518,2.0685507265337004,2266,train
trend3_plus_0pct_static_qqq,2016-01-04,2020-12-31,0.11288332625853448,0.10575551200322764,1.0649854971135344,0.972057362811741,-0.15975520271759225,0.7066018779875628,3.202587098818387,0.4326783654197527,0.7716700444460015,1.7054525050520801,1259,validation
trend3_plus_0pct_static_qqq,2021-01-04,2026-07-31,0.11400592932728615,0.11352091977633975,1.0321929303985085,0.7577101741880796,-0.13028249760021315,0.8750671151325826,3.868144169998216,0.40858590549102736,0.6046878948730736,1.8243658988294051,1400,confirmation
trend3_plus_10pct_static_qqq,2007-01-03,2015-12-31,0.08913953600075541,0.11144838642507993,0.834390968694487,0.7529588712075195,-0.16026535876125525,0.5561996471960304,2.7514747220165163,0.3310160197916738,0.6397415389119588,2.154907271550657,2266,train
trend3_plus_10pct_static_qqq,2016-01-04,2020-12-31,0.1262492348945483,0.11382805821162874,1.102382055261908,1.0159881398494912,-0.17213270940777514,0.7334412810261947,2.9285251800329735,0.49580495722521023,0.8215443454897761,1.810165953002992,1259,validation
trend3_plus_10pct_static_qqq,2021-01-04,2026-07-31,0.11939484426002744,0.11797087600140603,1.0397716979659506,0.7755630704729353,-0.14278527362865956,0.8361845814053387,3.5406050145829226,0.49283576579841737,0.7018611570659535,1.8740589672192955,1400,confirmation
trend3_plus_20pct_static_qqq,2007-01-03,2015-12-31,0.09380268213406162,0.11743969292711749,0.8335441978572687,0.7538669786305346,-0.19877475149274648,0.47190441154939433,2.4819043415347184,0.3965042694649729,0.7272140893255874,2.2392963144649025,2266,train
trend3_plus_20pct_static_qqq,2016-01-04,2020-12-31,0.13958766095354158,0.12309231674928495,1.1242276017453932,1.0442877658434282,-0.1848729126228974,0.7550465829370666,2.6555565446310236,0.5592317553382299,0.8569004129042734,1.919727405575094,1259,validation
trend3_plus_20pct_static_qqq,2021-01-04,2026-07-31,0.12454172551692522,0.12467929952938975,1.0283152695036604,0.7782455280659245,-0.16666243883684728,0.7472693090663592,3.209528654054625,0.577416126661724,0.7780694258975476,1.9225516730400227,1400,confirmation
trend3_plus_25pct_static_qqq,2007-01-03,2015-12-31,0.09602788328897294,0.12129799005050912,0.827341531986203,0.7489433145729083,-0.2226521959391904,0.4312909777687509,2.347038498785429,0.4294978121576256,0.7626700198044919,2.2805912029256783,2266,train
trend3_plus_25pct_static_qqq,2016-01-04,2020-12-31,0.14624606036811127,0.12809631475120373,1.130821243372314,1.0539830205454508,-0.19133644077883605,0.7643398182427554,2.5189583004436686,0.5910618738519776,0.870293588815159,1.9763683944068893,1259,validation
trend3_plus_25pct_static_qqq,2021-01-04,2026-07-31,0.12702409541613457,0.12878209569116944,1.0172762063689587,0.7751380053966961,-0.17854759935702091,0.7114298700938523,3.042289713707703,0.6198341531486565,0.8086187527865781,1.9463052423591165,1400,confirmation
trend3_plus_33pct_static_qqq,2007-01-03,2015-12-31,0.0995777163363345,0.12885532731880095,0.8108704671409007,0.7350911818806354,-0.26153364753678965,0.3807453353485884,2.1213485642196233,0.4848763127085438,0.8105091337449251,2.3478705718155535,2266,train
trend3_plus_33pct_static_qqq,2016-01-04,2020-12-31,0.15732686744247149,0.13690002102792956,1.1370975030298396,1.06517047264897,-0.20205816531833587,0.7786216765583726,2.2902388896612194,0.6442907992181017,0.8876625305040009,2.073585980280657,1259,validation
trend3_plus_33pct_static_qqq,2021-01-04,2026-07-31,0.13102563360529884,0.13658551959708673,0.9935639890669915,0.7652089597293183,-0.19826632437062897,0.6608567240111145,2.7608889420770195,0.6907258370337827,0.8496202147476998,1.9851021861372047,1400,confirmation
trend3_plus_50pct_static_qqq,2007-01-03,2015-12-31,0.1060732018434214,0.14748990224906675,0.7651452927084378,0.6957498757184489,-0.3365635557455572,0.3151654421063134,1.6649174609574395,0.5971981015157067,0.8721384910021318,2.4755592582832713,2266,train
trend3_plus_50pct_static_qqq,2016-01-04,2020-12-31,0.17941784498010294,0.15591524992026354,1.1379214746319792,1.074723004403563,-0.2233125754138141,0.8034381612751942,1.8299261922735104,0.7514470385327171,0.9090321755166065,2.2788100046001096,1259,validation
trend3_plus_50pct_static_qqq,2021-01-04,2026-07-31,0.13851528546222958,0.15517027153853924,0.9360936872618885,0.7350178142335521,-0.23732166668626908,0.583660511896463,2.187764728885882,0.833267891169359,0.9021939734793643,2.0594235281233253,1400,confirmation
