name,start,end,cagr,vol,sharpe,excess_sharpe,maxdd,calmar,turnover_ann,beta_spy,corr_spy,final,observations,cost_bps
trend3_plus_0pct_static_qqq,2007-01-03,2026-07-31,0.10108665770263414,0.10907836047706243,0.9446156643676389,0.8045064740520937,-0.15947166587841777,0.633884754045921,3.2364724621229626,0.3355761193978229,0.6033372289706128,6.58543779087279,4925,5
trend3_plus_0pct_static_qqq,2007-01-03,2026-07-31,0.09930508882537081,0.10906438961992905,0.9303146712268168,0.7898777458836612,-0.15975520271759192,0.6216078546181554,3.2364724621229626,0.33547468128134406,0.6032321144188372,6.379982681851094,4925,10
trend3_plus_0pct_static_qqq,2007-01-03,2026-07-31,0.09574821496830932,0.10905475723100075,0.9015503029074466,0.7604780154626553,-0.16032227639594132,0.5972233997716194,3.236472462122963,0.33527180504838616,0.6029205624990477,5.987847608294592,4925,20
trend3_plus_0pct_static_qqq,2007-01-03,2026-07-31,0.09042853901236492,0.10908608640368955,0.8580339983383538,0.7160606222925753,-0.16117288691346487,0.5610654542715785,3.2364724621229626,0.3349674906989493,0.6022003131713212,5.443789885169963,4925,35
trend3_plus_0pct_static_qqq,2007-01-03,2026-07-31,0.08512758502912954,0.10917230070327431,0.8141331800504025,0.6713235904086289,-0.16202349743098843,0.5254027124392152,3.2364724621229626,0.33466317634951265,0.6011780899932139,4.948531257641764,4925,50
trend3_plus_10pct_static_qqq,2007-01-03,2026-07-31,0.10808090373581392,0.11398486167216008,0.9641867722149747,0.8292803185521475,-0.17188071865144428,0.62881342703128,2.936019327408709,0.404047610305902,0.6951732372838232,7.454364721863724,4925,5
trend3_plus_10pct_static_qqq,2007-01-03,2026-07-31,0.10645444197196574,0.11396971692335615,0.9518341676044719,0.8166639807576095,-0.17213270940777514,0.6184440036889192,2.936019327408709,0.40395660431836466,0.6951090159573287,7.243094801984289,4925,10
trend3_plus_10pct_static_qqq,2007-01-03,2026-07-31,0.10320671634228185,0.11395353095715885,0.927004361498854,0.7913210891868214,-0.1726366909204372,0.5978260808407557,2.936019327408709,0.40377459234328983,0.6948945073794128,6.838110675353185,4925,20
trend3_plus_10pct_static_qqq,2007-01-03,2026-07-31,0.09834810356716783,0.11396452149602904,0.8894710671640408,0.7530550904227568,-0.17339266318942992,0.5671987600751216,2.936019327408709,0.4035015743806777,0.6943576754280687,6.272146818649483,4925,35
trend3_plus_10pct_static_qqq,2007-01-03,2026-07-31,0.09350503110217923,0.11401782105033184,0.8516288770286075,0.7145259728412047,-0.17414863545842307,0.53692657916061,2.936019327408709,0.4032285564180648,0.6935634882987435,5.75242244661556,4925,50
