,trend3_plus_0pct_static_qqq,trend3_plus_10pct_static_qqq,trend3_plus_20pct_static_qqq,trend3_plus_25pct_static_qqq,trend3_plus_33pct_static_qqq,trend3_plus_50pct_static_qqq
2007-01-03,0.987456089636116,0.9880052864345406,0.9885544832329652,0.9888290816321776,0.9892867456308648,0.9902020736282393
2007-01-04,0.9911382840508425,0.9932023155286204,0.9952663470063983,0.9962983627452872,0.9980183889767688,1.0014584414397316
2007-01-05,0.9791442061579413,0.9819253719215606,0.9847065376851798,0.9860971205669894,0.9884147587033388,0.9930500349760375
2007-01-08,0.9825159896039717,0.9850288732377663,0.9875417568715609,0.9887981986884582,0.9908922683832871,0.9950804077729448
2007-01-09,0.985855334683412,0.9885395056734004,0.991223676663389,0.9925657621583831,0.9948025713167069,0.9992761896333543
2007-01-10,0.989574348688407,0.9930806897978535,0.9965870309073,0.9983402014620233,1.0012621523865621,1.0071060542356396
2007-01-11,0.9947546594577226,0.9987992997133494,1.002843939968976,1.0048662600967893,1.0082367936431451,1.014977860735856
2007-01-12,1.007098597653446,1.0104370347674116,1.0137754718813774,1.0154446904383603,1.0182267213666651,1.0237907832232747
2007-01-16,1.0051678066261918,1.0086304061750204,1.0120930057238486,1.0138243054982627,1.0167098051222865,1.022480804370334
2007-01-17,1.0059815832675651,1.0085131635734796,1.0110447438793941,1.0123105340323513,1.01442018428728,1.0186394847971374
2007-01-18,0.9965175267548317,0.9980895613632155,0.9996615959715992,1.0004476132757911,1.001757642116111,1.0043776997967506
2007-01-19,1.0017330328222078,1.0029901543354782,1.0042472758487486,1.0048758366053838,1.0059234378664426,1.0080186403885596
2007-01-22,0.9955647956717921,0.9963364832759876,0.9971081708801828,0.9974940146822805,0.9981370876857767,0.9994232336927688
2007-01-23,1.0036057301589472,1.0033207287221715,1.0030357272853956,1.0028932265670076,1.0026557253696944,1.0021807229750679
2007-01-24,1.0123295930475833,1.0128255917581188,1.0133215904686543,1.013569589823922,1.0139829220827015,1.0148095866002607
2007-01-25,1.0026016672673106,1.0027615429670482,1.0029214186667856,1.0030013565166547,1.003134586266436,1.0034010457659985
2007-01-26,1.001648437577943,1.0015362477182053,1.0014240578584672,1.0013679629285983,1.0012744713788169,1.0010874882792533
2007-01-29,0.9996747205007939,0.9998517469242385,1.0000287733476827,1.000117286559405,1.0002648085789423,1.0005598526180162
2007-01-30,1.003912636843114,1.0037117581271626,1.003510879411211,1.0034104400532353,1.0032430411232758,1.0029082432633567
2007-01-31,1.0127174689422815,1.0126465098385202,1.012575550734759,1.0125400711828783,1.0124809385964106,1.012362673423475
2007-02-01,1.0162416590673309,1.0156567409950121,1.015071991501992,1.014779679963677,1.0142925876957545,1.0133187542093858
2007-02-02,1.0130640839811251,1.0131654878253338,1.0132668147189665,1.013317449315659,1.013401797577991,1.0135703338993514
2007-02-05,1.0130074142974375,1.0130224913255992,1.0130375223046915,1.013045020530242,1.013057492002627,1.0130823390885173
2007-02-06,1.0151311907818095,1.0147955744618995,1.0144600375324802,1.0142922988357514,1.0140127784371398,1.0134539029766545
2007-02-07,1.0181219491274451,1.0184067634192506,1.0186914349088185,1.0188337171132404,1.0190707748160421,1.019544592899357
2007-02-08,1.0222142355775559,1.022066176746482,1.0219181298886026,1.0218441109503935,1.0217207527073942,1.0214740611791702
2007-02-09,1.0184118514470666,1.0173335968366275,1.0162556872999164,1.0157168619141088,1.0148190112544853,1.0130240284889431
2007-02-12,1.0136204625739138,1.0126311317970371,1.0116421144573782,1.011147723308381,1.010323912139927,1.0086769424817181
2007-02-13,1.0185020123977586,1.0173687666869242,1.0162358857293396,1.0156695820116826,1.0147259450618453,1.012839430693411
2007-02-14,1.0291626004489245,1.0286635918063833,1.0281647204747808,1.027915336293519,1.0274997722550419,1.0266689301195988
2007-02-15,1.0318112338652388,1.0316449234826752,1.03147863122101,1.0313954918859258,1.0312569363957969,1.0309798631745721
2007-02-16,1.0302368737082466,1.0298832778434075,1.0295297671983366,1.0293530438294183,1.0290585522146634,1.0284697464602526
2007-02-20,1.0281280994562298,1.028767714682422,1.029407059709795,1.029726630917401,1.0302590995392091,1.0313234741902433
2007-02-21,1.03964120684524,1.039449687678342,1.0392581953411817,1.0391624592336308,1.0390029139594388,1.038683879304207
2007-02-22,1.0401083973843468,1.0403990750517784,1.0406896069359488,1.040834818220008,1.0410767560667096,1.041560328231184
2007-02-23,1.0404956803097531,1.0403795761467571,1.0402634717856758,1.040205419532426,1.0401086656714666,1.0399151575642456
2007-02-26,1.040473493138264,1.0398536054941565,1.039233897973682,1.0389241117500783,1.0384079014182253,1.0373758558427302
2007-02-27,0.9989818468627035,0.9982626872948426,0.9975437450484117,0.9971843554086102,0.9965854933750145,0.9953882218497787
2007-02-28,1.0089727643739184,1.0075748526244162,1.0061774007433366,1.0054788472261467,1.004314846768401,1.0019878034367413
2007-03-01,1.003196955246697,1.0019307846420624,1.0006620962365531,1.0000268085251358,0.998966598803657,0.9968409455425944
2007-03-02,0.9831252720238675,0.9823827438965871,0.9816356607968879,0.9812604122366315,0.980632470591589,0.9793671169904876
2007-03-05,0.9734769853308447,0.9729451878991552,0.9724080279189844,0.9721374382507294,0.9716834799351644,0.970764413557817
2007-03-06,0.9906867697000857,0.990039858755235,0.9893879333143211,0.9890600913622765,0.9885109057269139,0.9874021085475866
2007-03-07,0.989776774992367,0.9888246805562928,0.9878688572124381,0.9873895481267225,0.986588630688717,0.9849790433788821
2007-03-08,0.995765011390608,0.9948815468436489,0.9939940191890628,0.9935487326959609,0.9928043341212288,0.9913070895571864
2007-03-09,0.9943926173757602,0.9935553171347576,0.9927137710926826,0.9922914069350894,0.9915851108690443,0.9901636913948084
2007-03-12,0.9976856547517141,0.9971682092989063,0.996645152413832,0.9963815210184297,0.9959390217179591,0.9950423558499669
2007-03-13,0.9813128425949051,0.9804975183229796,0.9796779581724435,0.9792665906777989,0.9785786278850904,0.977193895564171
2007-03-14,0.9897237842739626,0.9895026520378523,0.9892747291167034,0.9891582227372253,0.9889602773828825,0.9885502670460968
2007-03-15,0.9895965323552725,0.9891542926023555,0.9887061894334023,0.9884799404555863,0.988099605346482,0.9873267438249501
2007-03-16,0.9916203941686242,0.9908946855033473,0.9901642851664681,0.9897973267559959,0.9891831261708084,0.9879449704313631
2007-03-19,0.9996673789141288,0.9991522112640849,0.9986314071875857,0.9983688928292915,0.9979282413878299,0.9970352192647958
2007-03-20,1.0065999261804308,1.0061044364157803,1.0056031737345084,1.0053503789203466,1.0049258509780978,1.0040647920267736
2007-03-21,1.021493819564958,1.0214481034091163,1.0213946139876988,1.0213649561065177,1.0213112129902107,1.02118756384765
2007-03-22,1.0196774479185473,1.019442113547227,1.019199814432863,1.0190760547262898,1.018865923912734,1.0184311807547142
2007-03-23,1.016021743303787,1.0158309939951309,1.0156331216692553,1.0155315160378509,1.0153582208494372,1.0149968197909622
2007-03-26,1.0204401972673225,1.020220841731782,1.0199944485664036,1.019878614517613,1.0196816526863857,1.0192730959211231
2007-03-27,1.0164967604876372,1.0159531798154955,1.0154039505245225,1.0151272189915441,1.0146628654988414,1.0137224139542125
2007-03-28,1.0120855103642685,1.0108906715541268,1.0096929468099407,1.009093002959854,1.0080914953863376,1.0060824808797493
2007-03-29,1.0108273704884292,1.0098777913953074,1.0089243087214663,1.0084461045087132,1.0076469316005534,1.0060404701498395
2007-03-30,1.0110382291370072,1.0099735405248798,1.008905428911589,1.008370090342662,1.007475960198981,1.0056805836787028
2007-04-02,1.012448640502368,1.0113819666586745,1.0103115937735434,1.0097750215648231,1.0088786834630672,1.0070783248374982
2007-04-03,1.0203835848079614,1.0198375273723777,1.019286810332785,1.0190097038787405,1.018545269451661,1.0176066829591883
2007-04-04,1.0271858301909846,1.026371224854368,1.0255523953758345,1.0251413969822303,1.0244540540566625,1.023070574855352
2007-04-05,1.0300685246229695,1.0294729662859297,1.0288727821661379,1.0285709550143058,1.0280653386700858,1.0270444615760874
2007-04-09,1.0279991776388513,1.0273574010929227,1.026711091558351,1.026386236674163,1.0258422928358029,1.0247449571577132
2007-04-10,1.033414578731822,1.0327597687313548,1.0321004188620002,1.0317690412649423,1.0312142225152188,1.0300951232826911
2007-04-11,1.0279707888139493,1.026775901463013,1.0255774553544343,1.0249768995776265,1.023974001383062,1.0219608224352184
