,adj_open,adj_close
2007-05-30,70.57212250517401,70.58753204345703
2007-05-31,70.57212250517401,70.58753204345703
2007-06-01,70.60295867919922,70.60295867919922
2007-06-04,70.61837768554688,70.61837768554688
2007-06-05,70.6337931076047,70.61837768554688
2007-06-06,70.61835259736576,70.64917755126953
2007-06-07,70.6183507581366,70.6337661743164
2007-06-08,70.64917755126953,70.64917755126953
2007-06-11,70.64917535223148,70.68000030517578
2007-06-12,70.68002761525642,70.61837768554688
2007-06-13,70.61835039928717,70.68000030517578
2007-06-14,70.71080780029297,70.71080780029297
2007-06-15,70.74168762388236,70.77250671386719
2007-06-18,70.75704736690254,70.78787231445312
2007-06-19,70.78787231445312,70.78787231445312
2007-06-20,70.77245874305338,70.80328369140625
2007-06-21,70.78787415685868,70.80328369140625
2007-06-22,70.81872521684927,70.86495971679688
2007-06-25,70.81870453897713,70.83411407470703
2007-06-26,70.8341481762233,70.84956359863281
2007-06-27,70.86493902542503,70.83411407470703
2007-06-28,70.86495971679688,70.86495971679688
2007-06-29,70.8649498858665,70.8957748413086
2007-07-02,70.91590881347656,70.91590881347656
2007-07-03,70.86946347062405,70.91590881347656
2007-07-05,70.90042506408568,70.91590881347656
2007-07-06,70.93137751969368,70.94686126708984
2007-07-09,70.90041050499163,70.96233367919922
2007-07-10,70.94685803795849,70.97781372070312
2007-07-11,70.97781372070312,70.97781372070312
2007-07-12,70.99329376220703,70.99329376220703
2007-07-13,70.9933493567875,71.00882720947266
2007-07-16,71.03973168545173,71.02425384521484
2007-07-17,71.05520629882812,71.05520629882812
2007-07-18,71.0243246955927,71.03980255126953
2007-07-19,71.05520629882812,71.05520629882812
2007-07-20,71.10169591269933,71.08621215820312
2007-07-23,71.08621215820312,71.08621215820312
2007-07-24,71.08621215820312,71.08621215820312
2007-07-25,71.10164642333984,71.10164642333984
2007-07-26,71.10164862596329,71.11712646484375
2007-07-27,71.10164712687113,71.14808654785156
2007-07-30,71.13265751636966,71.08621215820312
2007-07-31,71.1790771484375,71.1790771484375
2007-08-01,71.17130038828428,71.15575408935547
2007-08-02,71.10915994686249,71.17133331298828
2007-08-03,71.20235580519204,71.14018249511719
2007-08-06,71.21795654296875,71.21795654296875
2007-08-07,71.23345947265625,71.23345947265625
2007-08-08,71.23348688194282,71.20240020751953
2007-08-09,71.24900888675415,71.2645492553711
2007-08-10,71.31116485595703,71.31116485595703
2007-08-13,71.3112418449518,71.3267822265625
2007-08-14,71.31116485595703,71.31116485595703
2007-08-15,71.34232853735351,71.3267822265625
2007-08-16,71.3267229105071,71.41998291015625
2007-08-17,71.26456099855729,71.46662139892578
2007-08-20,71.43552570275281,71.5287857055664
2007-08-21,71.54433129878066,71.51324462890625
2007-08-22,71.51324462890625,71.51324462890625
2007-08-23,71.48216769927986,71.46662139892578
2007-08-24,71.37339116399852,71.45111083984375
2007-08-27,71.40444564465062,71.35781860351562
2007-08-28,71.37334303034645,71.43551635742188
2007-08-29,71.4666238041032,71.48217010498047
2007-08-30,71.52879022181341,71.4977035522461
2007-08-31,71.4044504589472,71.48217010498047
2007-09-04,71.47747972869766,71.49308013916016
2007-09-05,71.50868225097656,71.50868225097656
2007-09-06,71.52428266051172,71.50868225097656
2007-09-07,71.5555191040039,71.5555191040039
2007-09-10,71.53989917885106,71.57110595703125
2007-09-11,71.49308013916016,71.49308013916016
2007-09-12,71.52428859295709,71.60230255126953
2007-09-13,71.49308773986952,71.58670806884766
2007-09-14,71.57105511590528,71.63346862792969
2007-09-17,71.63349660094212,71.66470336914062
2007-09-18,71.63348981087616,71.61788940429688
2007-09-19,71.66473814261539,71.64913177490234
2007-09-20,71.68031650958197,71.60230255126953
2007-09-21,71.61786822596363,71.63346862792969
2007-09-24,71.71152326238703,71.6959228515625
2007-09-25,71.61793345034886,71.7115478515625
2007-09-26,71.69588213995408,71.63346862792969
2007-09-27,71.71154534158391,71.64913177490234
2007-09-28,71.61788940429688,71.61788940429688
2007-10-01,71.6492129938697,71.6961898803711
2007-10-02,71.66490717621689,71.64924621582031
2007-10-03,71.68053382651627,71.66487884521484
2007-10-04,71.72753959247429,71.74319458007812
2007-10-05,71.69619478072167,71.66487884521484
2007-10-08,71.69619587354245,71.77448272705078
2007-10-09,71.75882447948071,71.72750854492188
2007-10-10,71.74320544876782,71.79017639160156
2007-10-11,71.80579866303493,71.77448272705078
2007-10-12,71.82149234445983,71.79017639160156
2007-10-15,71.79015243776567,71.75884246826172
2007-10-16,71.79014806429291,71.8058090209961
2007-10-17,71.80584224813252,71.837158203125
2007-10-18,71.88412914915988,71.837158203125
2007-10-19,71.88407188910354,71.89972686767578
2007-10-22,71.85274725354726,71.868408203125
2007-10-23,71.88406317980052,71.868408203125
2007-10-24,71.89972686767578,71.89972686767578
2007-10-25,71.89971869749645,71.88406372070312
2007-10-26,71.88406861416759,71.85275268554688
2007-10-29,71.88411221400634,71.9154281616211
2007-10-30,71.93103462398535,71.88406372070312
2007-10-31,71.91538781915096,71.89972686767578
2007-11-01,71.9170136730664,71.94843292236328
2007-11-02,71.94845069867168,71.9955825805664
2007-11-05,71.9955825805664,71.9955825805664
2007-11-06,71.9955825805664,71.9955825805664
2007-11-07,71.94842872001709,72.04268646240234
2007-11-08,72.01128921279096,71.9955825805664
2007-11-09,72.08984516508956,72.05842590332031
2007-11-12,72.05839398456999,72.08981323242188
2007-11-13,72.07414245605469,72.07414245605469
2007-11-14,72.04268646240234,72.04268646240234
2007-11-15,72.05839398456999,72.08981323242188
2007-11-16,72.1055258526522,72.08981323242188
2007-11-19,72.08981183186009,72.12123107910156
2007-11-20,72.07408463031967,72.13691711425781
2007-11-21,72.13696910578176,72.16838836669922
2007-11-23,72.12126639418099,72.1841049194336
2007-11-26,72.23117482907547,72.13691711425781
2007-11-27,72.12123819564556,72.19978332519531
2007-11-28,72.19979488333334,72.21550750732422
2007-11-29,72.15268173254613,72.16838836669922
2007-11-30,72.2469434446862,72.1841049194336
2007-12-03,72.29278346109513,72.1667251586914
2007-12-04,72.18248748779297,72.18248748779297
2007-12-05,72.18248748779297,72.18248748779297
2007-12-06,72.19827270507812,72.19827270507812
2007-12-07,72.16672488927281,72.26126861572266
2007-12-10,72.26131154948841,72.21404266357422
2007-12-11,72.26128673334634,72.30855560302734
2007-12-12,72.29279327392578,72.29279327392578
2007-12-13,71.94617170018529,72.3243408203125
2007-12-14,72.32432108747719,72.27704620361328
2007-12-17,72.27704101964261,72.30855560302734
2007-12-18,72.2297721499616,72.30855560302734
2007-12-19,72.34004211425781,72.34004211425781
2007-12-20,72.29282144443302,72.3716049194336
2007-12-21,72.38735921011616,72.3716049194336
2007-12-24,72.38735921011616,72.3716049194336
2007-12-26,72.32428783407512,72.34004211425781
2007-12-27,72.40311951159259,72.3716049194336
2007-12-28,72.40161372444803,72.37001037597656
2007-12-31,72.41740895919975,72.35420227050781
2008-01-02,72.40162237300345,72.41742706298828
2008-01-03,72.41741841254495,72.37001037597656
2008-01-04,72.44900627582412,72.35420227050781
2008-01-07,72.3700190207569,72.41742706298828
2008-01-08,72.40161372444803,72.37001037597656
2008-01-09,72.43323293655634,72.32262420654297
