,nav,daily_return
2007-01-03,0.9885544832329652,
2007-01-04,0.9952663470063983,0.006789573955987338
2007-01-05,0.9847065376851799,-0.010610033538238861
2007-01-08,0.9875417568715609,0.0028792529326004956
2007-01-09,0.991223676663389,0.003728368715761432
2007-01-10,0.9965870309073,0.005410841538778577
2007-01-11,1.0028439399689761,0.006278336831234688
2007-01-12,1.0137754718813774,0.010900531455312334
2007-01-16,1.0120930057238489,-0.0016596043248178205
2007-01-17,1.0110447438793941,-0.0010357366749165209
2007-01-18,0.9996615959715995,-0.011258797374404272
2007-01-19,1.0042472758487486,0.004587232215009784
2007-01-22,0.997108170880183,-0.007108911460608103
2007-01-23,1.0030357272853956,0.005944747599430533
2007-01-24,1.0133215904686543,0.010254732611665096
2007-01-25,1.0029214186667859,-0.010263446372497098
2007-01-26,1.0014240578584672,-0.0014929991327826686
2007-01-29,1.000028773347683,-0.0013933003704426072
2007-01-30,1.003510879411211,0.0034820058745625992
2007-01-31,1.0125755507347587,0.009032957698342114
2007-02-01,1.0150719915019917,0.002465436544879518
2007-02-02,1.0132668147189663,-0.00177837315790208
2007-02-05,1.0130375223046912,-0.00022629026327947166
2007-02-06,1.01446003753248,0.0014042078367959565
2007-02-07,1.0186914349088183,0.004171083354481464
2007-02-08,1.0219181298886024,0.0031674900457692168
2007-02-09,1.0162556872999162,-0.005540994354707673
2007-02-12,1.011642114457378,-0.004539775668853663
2007-02-13,1.0162358857293392,0.0045409055300404955
2007-02-14,1.0281647204747806,0.011738253798113218
2007-02-15,1.0314786312210096,0.0032231321307141236
2007-02-16,1.0295297671983363,-0.0018893886540007898
2007-02-20,1.0294070597097948,-0.00011918789767040305
2007-02-21,1.0392581953411815,0.009569718352391954
2007-02-22,1.0406896069359486,0.0013773397228753481
2007-02-23,1.0402634717856754,-0.0004094738214287519
2007-02-26,1.0392338979736817,-0.0009897240842517974
2007-02-27,0.9975437450484115,-0.040116236591741794
2007-02-28,1.0061774007433364,0.008654914371204692
2007-03-01,1.0006620962365527,-0.005481443434039779
2007-03-02,0.9816356607968875,-0.019013846443492577
2007-03-05,0.9724080279189841,-0.009400262486809474
2007-03-06,0.9893879333143207,0.01746170836503147
2007-03-07,0.9878688572124379,-0.0015353695458909522
2007-03-08,0.9939940191890625,0.006200379667710809
2007-03-09,0.9927137710926822,-0.0012879837017779616
2007-03-12,0.9966451524138319,0.003960236510895276
2007-03-13,0.9796779581724434,-0.017024308200661697
2007-03-14,0.9892747291167033,0.009795842464560778
2007-03-15,0.9887061894334022,-0.000574703534385046
2007-03-16,0.9901642851664679,0.0014747512948223296
2007-03-19,0.9986314071875856,0.008551229475716848
2007-03-20,1.0056031737345084,0.006981321132846441
